Sl NO TIMESTAMP                   PROTOCOL        MESSAGE                              DETAILS                                                                                                                                                             
45    2019-08-15 18:34:05.333072  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Releasing SRBs and DRBs                                                                                                                 
46    2019-08-15 18:34:05.546706  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Reconfiguring SRBs and DRBs                                                                                                             
47    2019-08-15 18:34:05.583594  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Step6: Reconfigured the network to allow the RRC Conn Setup to succeed                                                                  
48    2019-08-15 18:34:05.583594  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Step7a: Monitoring the DUT for 10 seconds. DUT should not attempt to attach to the LTE Network                                          
49    2019-08-15 18:34:15.332186  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Step7a: Verified that the DUT does not attempt to attach to the LTE Network for 10 seconds                                              
50    2019-08-15 18:34:15.332186  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Step7b: Waiting to receive 3rd RRC Conn Req from the DUT                                                                                
51    2019-08-15 18:34:15.404992  [RRC]UL-CCCH    rrcConnectionRequest                 UL-CCCH,-                                                                                                                                                           
52    2019-08-15 18:34:15.408982  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Step7b: Received 3rd RRC Conn Req msg from the DUT after 10 seconds waitTime                                                            
53    2019-08-15 18:34:15.446887  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Accepted the RRC Connection                                                                                                             
54    2019-08-15 18:34:15.470817  [RRC]DL-CCCH    rrcConnectionSetup                   DL-CCCH,-                                                                                                                                                           
55    2019-08-15 18:34:15.560616  [RRC]UL-DCCH    rrcConnectionSetupComplete           UL-DCCH,-                                                                                                                                                           
56    2019-08-15 18:34:15.874743  [RRC]DL-DCCH    dlInformationTransfer                DL-DCCH,-                                                                                                                                                           
57    2019-08-15 18:34:15.960519  [RRC]UL-DCCH    ulInformationTransfer                UL-DCCH,-                                                                                                                                                           
58    2019-08-15 18:34:16.150009  [RRC]DL-DCCH    dlInformationTransfer                DL-DCCH,-                                                                                                                                                           
59    2019-08-15 18:34:16.240767  [RRC]UL-DCCH    ulInformationTransfer                UL-DCCH,-                                                                                                                                                           
60    2019-08-15 18:34:16.277669  [RRC]DL-DCCH    dlInformationTransfer                DL-DCCH,-                                                                                                                                                           
61    2019-08-15 18:34:16.320554  [RRC]UL-DCCH    ulInformationTransfer                UL-DCCH,-                                                                                                                                                           
62    2019-08-15 18:34:16.328533  -               -                                    APN is not included in the PDN Connectivity Request message                                                                                                         
63    2019-08-15 18:34:16.328533  -               -                                    ESM Information Transfer Flag not included in the ESM:PDN Connectivity Request message                                                                              
64    2019-08-15 18:34:16.407325  [RRC]DL-DCCH    securityModeCommand                  DL-DCCH,-                                                                                                                                                           
65    2019-08-15 18:34:16.462180  [RRC]UL-DCCH    securityModeComplete                 UL-DCCH,-                                                                                                                                                           
66    2019-08-15 18:34:16.464174  [RRC]DL-DCCH    ueCapabilityEnquiry                  DL-DCCH,-                                                                                                                                                           
67    2019-08-15 18:34:16.508074  [RRC]UL-DCCH    ueCapabilityInformation              UL-DCCH,-                                                                                                                                                           
68    2019-08-15 18:34:16.519026  -               -                                    AttachType From UE: '010'B and AttachType from Network: '010'B                                                                                                      
69    2019-08-15 18:34:16.519026  -               -                                    EMM Cause is ommited                                                                                                                                                
70    2019-08-15 18:34:16.526006  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Network simulator sends the Attach Accept/Activate Default EPS Bearer Context Request messages with the following information elements: 
71    2019-08-15 18:34:16.527004  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Message: ATTACH ACCEPT                                                                                                                  
72    2019-08-15 18:34:16.528002  -               -                                    TC_VZ_DATARETRYIMSLESS_2_1: Info: Network simulator sends the Attach Accept message with following information elements:                                            
73    2019-08-15 18:34:16.528002  -               -                                    	GUTI: Present                                                                                                                                                      
